City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kindu,-2.95,25.95,70.5,93,98,1.32,CD,1606238556
Dauphin,51.15,-100.05,26.6,92,90,14.99,CA,1606238557
Saint-Philippe,-21.36,55.77,75.2,78,53,8.99,RE,1606238558
Port Hardy,50.7,-127.42,42.8,100,90,4.7,CA,1606238558
San Quintín,30.48,-115.95,61.52,68,3,3.67,MX,1606238558
Zhanakorgan,43.91,67.25,27.0,83,100,2.28,KZ,1606238559
Manchar,19.0,73.93,74.26,48,78,4.47,IN,1606238559
Kabanjahe,3.1,98.49,78.8,94,40,3.36,ID,1606238560
Nikolskoye,59.7,30.79,36.0,87,90,11.18,RU,1606238560
Rikitea,-23.12,-134.97,73.87,76,100,12.41,PF,1606238561
Barrow,71.29,-156.79,10.4,85,90,14.99,US,1606238281
Catuday,16.29,119.81,76.62,74,16,10.29,PH,1606238561
Socond,47.57,22.95,37.4,91,75,4.7,RO,1606238562
Hamilton,39.18,-84.53,46.0,70,90,9.17,US,1606238507
Arraial do Cabo,-22.97,-42.03,78.8,78,75,16.11,BR,1606238563
Tuktoyaktuk,69.45,-133.04,5.0,77,75,11.41,CA,1606238563
Avarua,-21.21,-159.78,73.4,88,66,1.12,CK,1606238563
Hilo,19.73,-155.09,71.6,88,75,2.91,US,1606238222
Hermanus,-34.42,19.23,59.0,65,63,3.0,ZA,1606238564
Broken Hill,-31.95,141.43,66.2,39,0,8.63,AU,1606238565
Port Alfred,-33.59,26.89,66.11,65,10,19.91,ZA,1606238565
Clyde River,70.47,-68.59,8.6,84,90,19.46,CA,1606238566
Carnarvon,-24.87,113.63,73.4,69,0,14.99,AU,1606238566
George Town,5.41,100.34,78.8,83,20,2.24,MY,1606238534
Tecpan,14.76,-90.99,77.0,64,75,20.8,GT,1606238567
Burg,51.83,14.15,39.0,90,62,7.18,DE,1606238567
Punta Arenas,-53.15,-70.92,51.8,50,75,23.04,CL,1606238568
Hobart,-42.88,147.33,62.6,63,27,10.29,AU,1606238568
Vaini,-21.2,-175.2,69.8,94,75,3.36,TO,1606238568
Yar-Sale,66.83,70.83,10.78,96,99,11.74,RU,1606238569
Izumo,35.37,132.77,46.4,93,20,5.82,JP,1606238569
Tura,25.52,90.22,60.78,86,65,3.49,IN,1606238570
Hithadhoo,-0.6,73.08,82.53,74,3,11.1,MV,1606238570
Ilhabela,-23.78,-45.36,77.45,72,19,9.62,BR,1606238570
Wilhelmshaven,53.52,8.13,48.2,81,75,6.93,DE,1606238342
Cape Town,-33.93,18.42,64.0,58,75,12.75,ZA,1606238394
Zeya,53.75,127.27,6.64,88,0,5.01,RU,1606238572
Namatanai,-3.67,152.43,80.2,78,100,9.24,PG,1606238572
Abu Samrah,35.3,37.18,55.27,49,38,8.79,SY,1606238572
Jaraguá,-15.76,-49.33,82.4,48,75,11.41,BR,1606238574
Qaanaaq,77.48,-69.36,9.86,92,100,3.94,GL,1606238574
Antalaha,-14.9,50.28,74.57,83,84,8.1,MG,1606238576
Port Lincoln,-34.73,135.87,60.82,66,0,8.68,AU,1606238577
Haftoni,38.76,48.76,39.2,100,40,4.27,AZ,1606238577
Torbay,47.67,-52.73,54.0,100,90,40.26,CA,1606238578
Grand-Lahou,5.14,-5.02,81.91,74,29,7.27,CI,1606238578
Manacor,39.57,3.21,62.6,55,40,3.36,ES,1606238578
Albany,42.6,-73.97,43.0,44,0,1.01,US,1606238579
Chokurdakh,70.63,147.92,-1.05,93,100,7.47,RU,1606238579
Koutiala,12.39,-5.46,90.63,14,50,5.95,ML,1606238580
Thompson,55.74,-97.86,8.6,84,90,5.82,CA,1606238580
Tomatlán,19.93,-105.25,91.08,43,16,1.25,MX,1606238581
Elektrėnai,54.77,24.63,41.0,86,90,14.99,LT,1606238581
Ribeira Grande,38.52,-28.7,59.0,58,40,13.87,PT,1606238581
